index,brewery_wa,brewery_prod,month,production
2355,bale breaker brewing company,BALE BREAKER BREWING COMPANY,July,2302.83
2743,bale breaker brewing company,BALE BREAKER BREWING COMPANY,August,2282.84
3131,bale breaker brewing company,BALE BREAKER BREWING COMPANY,September,1709.75
3519,bale breaker brewing company,BALE BREAKER BREWING COMPANY,October,1536.51
3907,bale breaker brewing company,BALE BREAKER BREWING COMPANY,November,2088.51
4295,bale breaker brewing company,BALE BREAKER BREWING COMPANY,December,1416.19
4683,bale breaker brewing company,BALE BREAKER BREWING COMPANY,total_annual,21814.629999999994
28,bardic brewing and cider,BARDIC BREWING,January,3.32
416,bardic brewing and cider,BARDIC BREWING,February,1.88
804,bardic brewing and cider,BARDIC BREWING,March,
1192,bardic brewing and cider,BARDIC BREWING,April,3.91
1580,bardic brewing and cider,BARDIC BREWING,May,
1968,bardic brewing and cider,BARDIC BREWING,June,3.49
2356,bardic brewing and cider,BARDIC BREWING,July,1.79
2744,bardic brewing and cider,BARDIC BREWING,August,
3132,bardic brewing and cider,BARDIC BREWING,September,4.93
3520,bardic brewing and cider,BARDIC BREWING,October,
3908,bardic brewing and cider,BARDIC BREWING,November,
4296,bardic brewing and cider,BARDIC BREWING,December,8.12
4684,bardic brewing and cider,BARDIC BREWING,total_annual,27.44
29,barhop brewing,BARHOP BREWING,January,
417,barhop brewing,BARHOP BREWING,February,42.0
805,barhop brewing,BARHOP BREWING,March,83.0
1193,barhop brewing,BARHOP BREWING,April,51.0
1581,barhop brewing,BARHOP BREWING,May,
1969,barhop brewing,BARHOP BREWING,June,117.0
2357,barhop brewing,BARHOP BREWING,July,57.0
2745,barhop brewing,BARHOP BREWING,August,
3133,barhop brewing,BARHOP BREWING,September,70.0
3521,barhop brewing,BARHOP BREWING,October,82.83
3909,barhop brewing,BARHOP BREWING,November,52.03
4297,barhop brewing,BARHOP BREWING,December,35.88
4685,barhop brewing,BARHOP BREWING,total_annual,590.74
30,barley pop! brewing,BARLEY POP! BREWING,January,
418,barley pop! brewing,BARLEY POP! BREWING,February,
806,barley pop! brewing,BARLEY POP! BREWING,March,
1194,barley pop! brewing,BARLEY POP! BREWING,April,
1582,barley pop! brewing,BARLEY POP! BREWING,May,
1970,barley pop! brewing,BARLEY POP! BREWING,June,3.5
2358,barley pop! brewing,BARLEY POP! BREWING,July,3.0
2746,barley pop! brewing,BARLEY POP! BREWING,August,
3134,barley pop! brewing,BARLEY POP! BREWING,September,2.43
3522,barley pop! brewing,BARLEY POP! BREWING,October,0.85
3910,barley pop! brewing,BARLEY POP! BREWING,November,1.85
4298,barley pop! brewing,BARLEY POP! BREWING,December,1.5
4686,barley pop! brewing,BARLEY POP! BREWING,total_annual,13.13
31,barlow's brewery,BARLOWS BREWERY,January,5.48
419,barlow's brewery,BARLOWS BREWERY,February,
807,barlow's brewery,BARLOWS BREWERY,March,
1195,barlow's brewery,BARLOWS BREWERY,April,0.67
1583,barlow's brewery,BARLOWS BREWERY,May,
1971,barlow's brewery,BARLOWS BREWERY,June,
2359,barlow's brewery,BARLOWS BREWERY,July,
2747,barlow's brewery,BARLOWS BREWERY,August,
3135,barlow's brewery,BARLOWS BREWERY,September,
3523,barlow's brewery,BARLOWS BREWERY,October,
3911,barlow's brewery,BARLOWS BREWERY,November,
4299,barlow's brewery,BARLOWS BREWERY,December,
4687,barlow's brewery,BARLOWS BREWERY,total_annual,6.15
32,barrel mountain brewing,BARREL MOUNTAIN BREWING,January,106.29
420,barrel mountain brewing,BARREL MOUNTAIN BREWING,February,111.75
808,barrel mountain brewing,BARREL MOUNTAIN BREWING,March,167.61
1196,barrel mountain brewing,BARREL MOUNTAIN BREWING,April,153.19
1584,barrel mountain brewing,BARREL MOUNTAIN BREWING,May,191.01
1972,barrel mountain brewing,BARREL MOUNTAIN BREWING,June,183.67
2360,barrel mountain brewing,BARREL MOUNTAIN BREWING,July,143.91
2748,barrel mountain brewing,BARREL MOUNTAIN BREWING,August,209.85
3136,barrel mountain brewing,BARREL MOUNTAIN BREWING,September,156.76
3524,barrel mountain brewing,BARREL MOUNTAIN BREWING,October,150.98
3912,barrel mountain brewing,BARREL MOUNTAIN BREWING,November,152.74
4300,barrel mountain brewing,BARREL MOUNTAIN BREWING,December,121.47
4688,barrel mountain brewing,BARREL MOUNTAIN BREWING,total_annual,1849.23
33,bastion brewing company,BASTION BREWING COMPANY,January,
421,bastion brewing company,BASTION BREWING COMPANY,February,
809,bastion brewing company,BASTION BREWING COMPANY,March,
1197,bastion brewing company,BASTION BREWING COMPANY,April,
1585,bastion brewing company,BASTION BREWING COMPANY,May,
1973,bastion brewing company,BASTION BREWING COMPANY,June,
